Ensembl Gene ID	Associated Gene Name
F32H2.2	mdt-31
F32B5.6	F32B5.6
F27D4.8	F27D4.8
M01A10.1	M01A10.1
ZK484.3	ZK484.3
Y105E8A.11	Y105E8A.11
Y47H9C.7	Y47H9C.7
R09B3.7	R09B3.7
T09E11.6	T09E11.6
Y71F9B.13	Y71F9B.13
C41D11.3	C41D11.3
C45E1.4	C45E1.4
Y71G12B.10	Y71G12B.10
T05E7.4	T05E7.4
Y40B1B.7	Y40B1B.7
T22A3.3	lst-1
Y23H5B.3	Y23H5B.3
F39H2.3	F39H2.3
F22G12.1	F22G12.1
D1007.12	rpl-24.1
T15D6.2	gly-16
K07A1.1	K07A1.1
C43E11.3	met-1
T04D1.2	T04D1.2
C47F8.6	C47F8.6
F25H2.6	F25H2.6
T23H2.1	npp-12
T02G6.6	T02G6.6
C30F12.5	C30F12.5
K11D2.4	K11D2.4
Y106G6G.2	Y106G6G.2
C48E7.6	C48E7.6
F37E3.2	F37E3.2
T28F4.3	T28F4.3
Y95B8A.2	Y95B8A.2
T20F5.8	T20F5.8
C30F8.4	kin-32
F55D12.1	F55D12.1
Y39G10AL.3	cdk-7
C25A1.13	C25A1.13
F52A8.6	F52A8.6
Y37F4.1	Y37F4.1
K07A12.7	K07A12.7
Y74C9A.3	Y74C9A.3
D1007.6	rps-10
C15A11.4	C15A11.4
W04A4.3	W04A4.3
